sku,brand,name,would_fix_by_map,map_primary
HU69438,HUNTER,Impermeable Huka to Go,no,
CL05014AM,RED DINGO,Collar liso perro,no,
HU208524,HUNTER,COLLAR HAVANNA 50/M PLASTIC GREEN/ORANGE,no,
CU00100,3 CLAVELES,Tijera classic acero Inoxidable,no,
HU63129,HUNTER,Collar Convenience,no,
PT05043SBT,RED DINGO,Petral Style,no,
HU208607,HUNTER,SOFA LOPPA 80X60 CM POLYESTER ANTHRACITE,no,
MFP030104,MEN FOR SAN,Champú eliminador de olores talco,no,
PT05020BL,RED DINGO,Petral liso,no,
CL05043PIR,RED DINGO,Collar Style,no,
HU208446,HUNTER,COLLAR HAVANNA 40/S PLASTIC GREIGE,no,
HU66608,HUNTER,Collar Hilo Vario Basic,no,
COA18123ZG2,COMPANY OF ANIMALS,Bozal halti headcollar,no,
HU203342,HUNTER,Collar VB ALU-Strong,no,
CL00351,SPRENGER,Collar eslabón corto,no,
HU91369,HUNTER,Comedero de Melamina,no,
CL05013RO,RED DINGO,Collar liso perro,no,
HU61808,HUNTER,Sofá Gent Antibacteriano,no,
CL00353,SPRENGER,Collar eslabón corto,no,
HU47770,HUNTER,Collar Softie,no,
HU61429,HUNTER,Sofá Boston,no,
HU208506,HUNTER,COLLAR HAVANNA 45-65/XL PLASTIC BLACKBERRY,no,
HU69798,HUNTER,Arnés Hilo Comfort,no,
HU61798,HUNTER,Colchón Antibacterias Gent,no,
CL00550,SPRENGER,Collar eslabón retorcido,no,
CL00343,SPRENGER,Collar eslabón corto,no,
COA47110A,COMPANY OF ANIMALS,Halti anatomy arnés burdeos,no,
CD00101VE20,UNITED PETS,Recambio Bon Ton Nano,no,
HU69815,HUNTER,Arnés Hilo Comfort,no,
PT05044SPB,RED DINGO,Petral Style,no,
PT05024TQ,RED DINGO,Petral liso,no,
JU03474,KONG,KONG Cozies Naturals,no,
PT05042SPB,RED DINGO,Petral Style,no,
CA04000GR,DGS,Dirty dog doormat,no,
HU203467,HUNTER,Abrigo Paxson,no,
HU69774,HUNTER,Arnés Maldon Up,no,
CR05018MA,RED DINGO,Correa lisa multiposición,no,
HU67467,HUNTER,Arnés Hilo Comfort,no,
CL05043CMF,RED DINGO,Collar Style,no,
HU204985,HUNTER,Comedero Cerámica Osby,no,
HU68059,HUNTER,Arnés London Comfort Lima,no,
MFE034072,MEN FOR SAN,Champú intensificador de color para caballos,no,
KVP0120,KVP,Kong Cloud,no,
HU204871,HUNTER,Comedero Chester,no,
CR05016NE,RED DINGO,Correa lisa multiposición,no,
CL05042SPF,RED DINGO,Collar Style,no,
KVP0047,KVP,Saf-T-Clear,no,
PT05021FX,RED DINGO,Petral liso,no,
CL05012NE,RED DINGO,Collar liso perro,no,
COA64320A,COMPANY OF ANIMALS,Baskerville classic basket bozal,no,
HU42827,HUNTER,Collar Swiss,no,
CR05042SLR,RED DINGO,Correa Style,no,
CR05041PIR,RED DINGO,Correa Style,no,
HU69663,HUNTER,Abrigo Milford,no,
HU204934,HUNTER,Sofa Kumara 60x40 cm Polyester grey,no,
CL00267,SPRENGER,Collar eslabón largo,no,
HU201752,HUNTER,Arnés Divo Up,no,
KVP0144,KVP,Bite Free,no,
HU69678,HUNTER,Abrigo Milford,no,
CL00050,SPRENGER,Collar eslabón corto,no,
HU69661,HUNTER,Abrigo Milford,no,
KVP0014,KVP,KONG Quick Fit,no,
HU201765,HUNTER,Arnés Divo Up,no,
KVP0021,KVP,Check,no,
HU68137,HUNTER,Arnés London Comfort Marrón,no,
HU63124,HUNTER,Collar Convenience,no,
CL05014LM,RED DINGO,Collar liso perro,no,
PT05023NA,RED DINGO,Petral liso,no,
PT05044SPR,RED DINGO,Petral Style,no,
CL00203,SPRENGER,Collar eslabón retorcido,no,
PT05023MO,RED DINGO,Petral liso,no,
HU42830,HUNTER,Collar Swiss,no,
CL05041SBR,RED DINGO,Collar Style,no,
PT05041SPR,RED DINGO,Petral Style,no,
HU67481,HUNTER,Arnés Hilo Comfort,no,
PT05023LM,RED DINGO,Petral liso,no,
CL05014MO,RED DINGO,Collar liso perro,no,
CR05017BL,RED DINGO,Correa lisa multiposición,no,
CL00054,SPRENGER,Collar eslabón corto,no,
CR05042SPA,RED DINGO,Correa Style,no,
HU69773,HUNTER,Arnés Maldon Up,no,
CL05041SPF,RED DINGO,Collar Style,no,
PT05051TQ,RED DINGO,Petral acolchado Red Dingo,no,
JU03993,KONG,KONG Tennishues Giraffe,no,
HU66663,HUNTER,Arnés Hilo Comfort,no,
CL00269,SPRENGER,Collar eslabón largo,no,
COA47311ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR BURDEOS L,no,
CR05013BL,RED DINGO,Correa lisa,no,
CR05014MA,RED DINGO,Correa lisa,no,
HU208655,HUNTER,SOFA ORTHOPEDIC CORBIE 100X70 CM POLYESTER GREEN,no,
